KID, t, t_err, a, a_errp, a_errm, p, p_err, logg, logg_errp, logg_errm, feh, feh_err
7.871531000000000000e+06 5.400000000000000000e+03 6.000000000000000000e+01 9.150000000000000355e+00 4.699999999999999734e-01 4.699999999999999734e-01 2.876036237500000325e+01 3.813140454541587565e-01 4.490000000000000213e+00 2.999999999999999889e-02 2.999999999999999889e-02 -2.399999999999999911e-01 5.999999999999999778e-02 5.999999999999999778e-02
9.098294000000000000e+06 5.840000000000000000e+03 6.000000000000000000e+01 7.280000000000000249e+00 5.100000000000000089e-01 5.100000000000000089e-01 1.646952190000000016e+01 1.262629289583329928e-01 4.299999999999999822e+00 2.999999999999999889e-02 2.999999999999999889e-02 -1.300000000000000044e-01 5.999999999999999778e-02 5.999999999999999778e-02
1.045411300000000000e+07 6.120000000000000000e+03 6.000000000000000000e+01 2.000000000000000000e+00 2.899999999999999800e-01 2.899999999999999800e-01 1.155522907500000152e+01 1.262629289583312164e-01 4.309999999999999609e+00 2.999999999999999889e-02 2.999999999999999889e-02 -5.999999999999999778e-02 5.999999999999999778e-02 5.999999999999999778e-02
1.064425300000000000e+07 6.030000000000000000e+03 6.000000000000000000e+01 1.070000000000000062e+00 2.500000000000000000e-01 2.500000000000000000e-01 8.857987275000001048e+00 2.171722378083373595e-01 4.400000000000000355e+00 2.999999999999999889e-02 2.999999999999999889e-02 1.199999999999999956e-01 5.999999999999999778e-02 5.999999999999999778e-02
1.096306500000000000e+07 6.060000000000000000e+03 6.000000000000000000e+01 4.299999999999999822e+00 2.300000000000000100e-01 2.300000000000000100e-01 9.920537075000000371e+00 7.422713985052773467e-01 4.290000000000000036e+00 2.999999999999999889e-02 2.999999999999999889e-02 -2.000000000000000111e-01 5.999999999999999778e-02 5.999999999999999778e-02
1.124411800000000000e+07 5.745000000000000000e+03 6.000000000000000000e+01 6.429999999999999716e+00 5.799999999999999600e-01 5.799999999999999600e-01 2.692133387500000197e+01 9.141436056583325254e-01 4.089999999999999858e+00 2.999999999999999889e-02 2.999999999999999889e-02 3.499999999999999778e-01 5.999999999999999778e-02 5.999999999999999778e-02
1.200950400000000000e+07 6.065000000000000000e+03 6.000000000000000000e+01 3.640000000000000124e+00 2.600000000000000089e-01 2.600000000000000089e-01 8.418663800000000919e+00 1.464649975916638980e-01 4.209999999999999964e+00 2.999999999999999889e-02 2.999999999999999889e-02 -8.999999999999999667e-02 5.999999999999999778e-02 5.999999999999999778e-02
6.520835000000000000e+06 6.215000000000000000e+03 1.850000000000000000e+02 2.899164999999999964e+00 8.358750000000000000e+02 -6.493350000000000364e+02 1.289363314999999943e+01 1.607064719025000088e-01 3.909930000000000128e+00 1.047000000000000014e-02 -9.329999999999999752e-03 7.000000000000000666e-02 1.600000000000000033e-01 1.600000000000000033e-01
6.853020000000000000e+06 6.397000000000000000e+03 1.530000000000000000e+02 1.805170000000000073e+00 3.807799999999999727e+02 -3.059300000000000068e+02 4.965376949999999567e+00 1.605277103105000047e-01 3.975029999999999841e+00 1.467000000000000075e-02 -1.173000000000000084e-02 2.800000000000000266e-01 1.499999999999999944e-01 1.499999999999999944e-01
7.668623000000000000e+06 6.141000000000000000e+03 1.430000000000000000e+02 3.650661000000000058e+00 5.475090000000000146e+02 -4.586009999999999991e+02 4.822341400000000000e+00 2.354095049374319792e+00 3.855550000000000033e+00 1.204999999999999995e-02 -9.950000000000000511e-03 -1.799999999999999933e-01 1.600000000000000033e-01 1.600000000000000033e-01
7.739672000000000000e+06 6.179000000000000000e+03 1.050000000000000000e+02 3.344199000000000069e+00 1.444861000000000104e+03 -5.513890000000000100e+02 1.193325160000000018e+01 3.288797785045000088e-01 4.064510000000000289e+00 1.209000000000000005e-02 -1.101000000000000069e-02 8.000000000000000167e-02 1.600000000000000033e-01 1.600000000000000033e-01
8.216936000000000000e+06 6.684000000000000000e+03 1.280000000000000000e+02 8.456944999999999709e+00 8.356549999999999727e+02 -7.613450000000000273e+02 3.126348450000000057e+00 7.865278502115000125e-02 3.976799999999999891e+00 1.290000000000000001e-02 -1.129999999999999928e-02 -1.639999999999999902e+00 1.700000000000000122e-01 1.700000000000000122e-01
8.408931000000000000e+06 6.305000000000000000e+03 1.180000000000000000e+02 1.968426999999999907e+00 1.217030000000000030e+02 -5.809769999999999754e+02 1.844903174374999821e+01 1.628791783559999928e-01 3.708029999999999937e+00 1.106999999999999998e-02 -7.629999999999999630e-03 3.300000000000000155e-01 1.499999999999999944e-01 1.499999999999999944e-01
8.414062000000000000e+06 6.372000000000000000e+03 1.150000000000000000e+02 4.674177999999999884e+00 1.025172000000000025e+03 -1.689728000000000065e+03 1.131002527500000099e+01 2.535654771905000437e-01 4.050340000000000273e+00 1.745999999999999983e-02 -1.663999999999999854e-02 -4.099999999999999756e-01 1.499999999999999944e-01 1.499999999999999944e-01
