EPIC,Period,B-V Colour,(B-V)_0 Colour,Confidence
211397512,33.0,1.0,0.96,y
211397558,11.7513235,0.57,0.5299999999999999,y
211397877,19.52106223,0.71,0.6699999999999999,y
211398314,31.38787606,0.54,0.5,y
211399673,31.00749148,0.6,0.5599999999999999,y
211400106,29.04287223,0.76,0.72,m
211400215,29.6,0.55,0.51,m
211400412,27.9639207,0.77,0.73,m
211400944,22.7266342,0.74,0.7,m
211401403,29.1,0.55,0.51,m
211401558,29.46033458,0.56,0.52,y
211401771,32.03605897,0.56,0.52,y
211401874,14.97692488,1.03,0.99,m
211402288,24.88612665,0.618,0.578,m
211402626,15.00205779,0.58,0.5399999999999999,y
211402905,21.96860989,0.66,0.62,y
211403286,30.5,0.94,0.8999999999999999,y
211403555,42.20759529,0.75,0.71,y
211403895,34.05525048,0.82,0.7799999999999999,m
211404359,30.78812654,0.78,0.74,m
211404487,28.88641244,0.71,0.6699999999999999,m
211404554,14.32998708,1.06,1.02,y
211405080,9.6,0.54,0.5,y
211405262,26.86103433,0.91,0.87,m
211405776,7.017382121,0.7,0.6599999999999999,y
211405832,24.11350221,0.68,0.64,m
211406196,18.85170404,0.83,0.7899999999999999,m
211406684,9.9,0.66,0.62,m
211406971,5.9,0.48,0.44,y
211407417,13.6,1.13,1.0899999999999999,y
211407590,25.86797893,1.0,0.96,y
211407616,27.71830668,1.06,1.02,m
211408078,4.411162403,0.57,0.5299999999999999,y
211408129,29.76431913,0.88,0.84,y
211408635,24.15112561,0.74,0.7,m
211408761,28.8,0.83,0.7899999999999999,m
211408909,25.3,0.83,0.7899999999999999,y
211409139,6.225093765,0.89,0.85,y
211409263,13.1,0.62,0.58,m
211409376,10.19187699,0.78,0.74,y
211409463,33.38474292,0.83,0.7899999999999999,m
211410041,29.3,0.75,0.71,m
211410241,34.5,0.52,0.48000000000000004,m
211410278,4.52000511,0.67,0.63,y
211410368,34.2,0.55,0.51,m
211410402,6.109515449,0.56,0.52,y
211411615,23.34524789,0.76,0.72,m
211411715,31.51483392,0.66,0.62,m
211411716,7.869048256,0.79,0.75,y
211411798,35.78459622,0.98,0.94,y
211412391,24.74379458,1.18,1.14,y
211412436,11.85316374,0.67,0.63,m
211412674,8.291259389,0.69,0.6499999999999999,y
211412848,27.4,0.57,0.5299999999999999,m
211413012,21.61481821,0.69,0.6499999999999999,m
211413688,29.82293886,1.08,1.04,y
211414081,29.35138062,0.66,0.62,y
211414701,28.59995802,0.66,0.62,m
211415154,2.594555026,0.62,0.58,y
211415239,23.9,0.84,0.7999999999999999,y
211415650,8.21175021,0.61,0.57,y
211415840,27.93071437,0.6,0.5599999999999999,m
211415995,23.48464864,0.76,0.72,m
211416172,26.4646091,0.97,0.9299999999999999,m
211416296,17.34016689,0.72,0.6799999999999999,m
211416940,24.64626449,0.81,0.77,y
211417722,28.13974223,0.83,0.7899999999999999,y
211417843,25.30002136,1.03,0.99,y
211418629,10.0,0.81,0.77,m
211418950,10.0,1.0,0.96,m
211419114,15.42292349,0.63,0.59,m
211419629,27.2,1.15,1.1099999999999999,y
211419792,37.21890213,0.85,0.8099999999999999,m
211420648,23.10652117,0.65,0.61,m
211421275,27.8,0.75,0.71,y
211424747,32.8,0.88,0.84,m
211424811,14.7,0.83,0.7899999999999999,m
211424981,29.6,0.77,0.73,m
211425493,30.29267788,0.92,0.88,y
211425620,2.692642973,0.78,0.74,y
211426130,10.74246531,0.54,0.5,m
