,age,age_errm,age_errp,feh,feh_err,kepid,logg,logg_errm,logg_errp,period,period_err,teff,teff_err
0,1.9,0.5,0.6,-0.11,0.09,1430163.0,4.221,0.014,0.013,4.16,0.92,-0.11,0.09
1,3.7,0.8,1.7,-0.01,0.09,1435467.0,4.094,0.019,0.012,6.68,0.89,-0.01,0.09
2,6.2,1.2,1.8,-0.2,0.3,2450729.0,3.988,0.017,0.017,53.0,5.32,6093.0,152.0
3,2.0,0.4,0.3,-0.02,0.09,2837475.0,4.167,0.01,0.01,3.68,0.36,-0.02,0.09
4,3.0,0.7,0.7,-0.2,0.3,2852862.0,3.965,0.013,0.012,10.13,0.63,6572.0,172.0
5,4.5,0.8,2.0,-0.2,0.3,2865774.0,4.03,0.025,0.022,6.22,0.56,6187.0,153.0
6,3.2,1.3,2.1,-0.2,0.3,2998253.0,4.219,0.028,0.026,6.79,0.53,6538.0,167.0
7,3.9,0.8,1.1,-0.2,0.3,3112152.0,4.042,0.018,0.017,15.48,1.19,6591.0,169.0
8,1.9,1.0,1.7,-0.2,0.3,3123191.0,4.243,0.022,0.02,20.33,1.38,6524.0,171.0
9,3.3,2.2,2.8,-0.2,0.3,3223000.0,4.354,0.026,0.025,4.85,0.39,6292.0,178.0
10,1.9,0.9,0.5,-0.2,0.3,3236382.0,4.165,0.013,0.014,3.66,0.42,6847.0,197.0
11,10.5,5.5,4.5,-0.2,0.3,3241581.0,4.362,0.018,0.023,26.26,2.01,5779.0,134.0
12,2.6,0.7,1.0,-0.2,0.3,3344897.0,3.89,0.016,0.017,5.66,0.94,6650.0,167.0
13,4.0,0.6,0.6,0.01,0.09,3424541.0,3.797,0.015,0.016,3.46,0.33,0.01,0.09
14,3.1,0.8,0.9,-0.2,0.3,3430893.0,4.169,0.016,0.015,8.29,0.69,5003.0,0.0
15,4.1,0.6,0.5,-0.16,0.09,3632418.0,4.01,0.009,0.01,12.89,1.38,-0.16,0.09
16,4.9,1.0,1.1,-0.2,0.3,3633847.0,4.0,0.018,0.016,10.96,1.03,6298.0,143.0
17,2.2,1.0,1.1,-0.2,0.3,3633889.0,4.278,0.011,0.011,4.23,0.3,6619.0,151.0
18,3.4,0.9,1.6,-0.2,0.3,3642422.0,3.6,0.021,0.016,48.73,-8.19,5206.0,113.0
19,6.8,2.0,2.2,-0.2,0.3,3643774.0,4.108,0.016,0.017,14.4,1.56,6180.0,130.0
20,7.2,1.8,2.2,0.34,0.09,3656476.0,4.225,0.008,0.008,31.67,3.53,0.34,0.09
21,5.1,1.0,2.0,-0.2,0.3,3657002.0,4.153,0.015,0.012,16.02,1.54,6094.0,148.0
22,6.8,0.7,1.2,-0.2,0.3,3661135.0,3.926,0.012,0.011,28.39,4.83,5656.0,126.0
23,0.8,0.4,0.4,-0.04,0.09,3733735.0,4.277,0.014,0.014,2.56,0.19,-0.04,0.09
24,3.0,2.3,3.0,-0.2,0.3,3735871.0,4.388,0.022,0.021,11.53,1.24,6305.0,147.0
25,3.2,0.7,0.8,-0.2,0.3,3761840.0,3.709,0.024,0.024,3.92,0.29,6673.0,176.0
26,5.5,0.8,1.9,-0.2,0.3,3942719.0,3.835,0.019,0.019,37.97,5.05,5785.0,136.0
27,3.2,1.2,0.7,-0.2,0.3,3952580.0,3.743,0.017,0.022,89.75,7.62,6593.0,166.0
28,1.5,0.5,0.9,-0.2,0.3,3967430.0,4.236,0.014,0.014,2.25,0.17,6903.0,176.0
